Job Title,Company Name,Location,Job Type,Level,Years of Experience,Skills,Country
Econometric Data Analyst (Remote),North Star Staffing,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, Data Analysis, · Analysis, · Computer Science, · Information Technology (IT), · Microsoft Office, · SQL, · Microsoft Excel",Egypt
Associate Data Analyst - Builders Program,Tamara,"Riyadh, Saudi Arabia",Part Time,N/A,N/A,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, Data Analysis, · Analysis, · Computer Science, · Information Technology (IT), · Microsoft Office, · SQL, · Microsoft Excel",Egypt
Senior Business Analyst,DAF Holding ,"Cairo, Egypt","Full Time, Hybrid",N/A, 4 - 7 Yrs of Exp,"Experienced, · IT/Software Development, · Business process analysis, · Digital transformation, · Agile methodologies",Egypt
Data Analyst Specialist - Remote,Loyal To Cumbria,"Dubai, United Arab Emirates",Freelance / Project,Entry Level,N/A,"· Administration, · IT/Software Development, · Analyst/Research, · Microsoft Office, Data Entry, · Administration, Data Analysis, · Analysis, · Computer Science, · Information Technology (IT)",Egypt
Entry Level Data Analyst (Remote),PulseMediaNL (SWANA REGION),"Makkah, Saudi Arabia",Full Time,N/A,N/A,"Not specified, · Accounting/Finance, · IT/Software Development, · Analyst/Research, · microsoft office, · information technology (it), · computer science, · accounting, · analysis, · microsoft excel, data analysis",Egypt
Entry Level Data Analyst (Remote),PulseMediaNL (LATAM REGION),"Riyadh, Saudi Arabia",Full Time,Entry Level,N/A,"· Accounting/Finance, · IT/Software Development, · Analyst/Research, · microsoft office, · information technology (it), · computer science, · accounting, · analysis, · microsoft excel, data analysis",Egypt
Entry Level Data Analyst (Remote),PulseMediaNL (EMEA REGION),"Dubai, United Arab Emirates",Full Time,N/A,N/A,"Not specified, · Accounting/Finance, · IT/Software Development, · Analyst/Research, · microsoft office, · information technology (it), · computer science, · accounting, · analysis, · microsoft excel, data analysis",Egypt
Senior Marketing Data Analyst - REMOTE,Jobgether,"Dubai, United Arab Emirates",Full Time,N/A,N/A,"Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, Data Analysis, · Information Technology (IT), · Computer Science, · Analysis, · Marketing, · Microsoft Office, · Market Research",Egypt
Financial Data Analyst | Al-Futtaim Automotive | FAMCO,Al-Futtaim,"Dubai, United Arab Emirates",Full Time,N/A,N/A,"Not specified, · Accounting/Finance, · Analyst/Research, · Sales/Retail, · automotive, · indoor sales, · outdoor sales, · retail, · accounting, · finance, · financial analysis",Egypt
Data Analyst Specialist – Remote,Loyal To Cumbria,"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · information technology (it), · computer science, · customer service, · erp, · sql, · analysis, · microsoft excel",Egypt
Cybersecurity & Data Platform Security Analyst,Dicetek LLC,"Dubai, United Arab Emirates",Freelance / Project,N/A,N/A,"Not specified, · Installation/Maintenance/Repair, · IT/Software Development, · Engineering - Telecom/Technology, · Information Technology (IT), · Computer Science, · Cybersecurity, · Engineering, · SIEM, · Telecommunication, · CCNP",Egypt
Project Controls & Financial Analyst,AZE Engineering,"Abu Dhabi, United Arab Emirates","Full Time, Remote",Entry Level, 1 - 5 Yrs of Exp,"· Accounting/Finance, · Budgeting and forecasting, · Cost control, · Project controls, Data analysis",Egypt
Business Analyst,BI-Technologies,"New Cairo, Cairo, Egypt","Full Time, Hybrid",N/A, 1 - 4 Yrs of Exp,"Experienced, · Installation/Maintenance/Repair, · IT/Software Development, · Engineering - Telecom/Technology, · Business Analysis, · business, · Business Development, · Computer Science, · Information Technology (IT), Data, · Management",Egypt
Entry-Level Data Analyst Specialist,PulseMediaNL (LATAM REGION),"Riyadh, Saudi Arabia",Full Time,Entry Level,N/A,"· Administration, · Customer Service/Support, · Writing/Editorial, Data Entry, · Administration, · Microsoft Office, · Admin, · Typing, · Computer Skills, · Customer Service",Egypt
Entry-Level Data Analyst Specialist (Remote),Loyal To Cumbria,"Riyadh, Saudi Arabia",Full Time,Entry Level,N/A,"· Administration, · Customer Service/Support, · Writing/Editorial, Data Entry, · Administration, · Microsoft Office, · Admin, · Typing, · Computer Skills, · Customer Service",Egypt
Data Analyst | Al-Futtaim Automotive | Logistics,Al-Futtaim,"Dubai, United Arab Emirates",Full Time,N/A,N/A,"Not specified, · Administration, · Marketing/PR/Advertising, · Sales/Retail, · e-marketing, · marketing, · digital marketing, · management, · automotive, · retail, · construction",Egypt
FP&A Senior Analyst,Valmore Holding,"New Cairo, Cairo, Egypt","Full Time, On-site",N/A, 4 - 6 Yrs of Exp,"Experienced, · Accounting/Finance, · Financial Planning & Analysis, · Budgeting and Forecasting, · Financial Modeling, · Management Reporting, · ERP Systems",Egypt
Data Analyst (Engineer),Revolut,"Dubai, United Arab Emirates",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, Data Analysis, · Analysis, · Computer Science, · Information Technology (IT), · SQL, · Microsoft Office, · Microsoft Excel",Egypt
